Date,Total crawl requests,Total download size (Bytes),Average response time (ms)
2026-04-04,3,1185,42
2026-04-05,0,0,0
2026-04-06,0,0,0
2026-04-07,0,0,0
2026-04-08,0,0,0
2026-04-09,0,0,0
2026-04-10,0,0,0
2026-04-11,0,0,0
2026-04-12,0,0,0
2026-04-13,4,1580,63
2026-04-14,6,3883,105
2026-04-15,1,395,51
2026-04-16,2,790,60
2026-04-17,0,0,0
2026-04-18,0,0,0
2026-04-19,1,395,23
2026-04-20,0,0,0
2026-04-21,1,395,62
2026-04-22,0,0,0
2026-04-23,1,395,40
2026-04-24,0,0,0
2026-04-25,0,0,0
2026-04-26,5,5001,93
2026-04-27,1,395,58
2026-04-28,0,0,0
2026-04-29,1,395,16
2026-04-30,5,4999,28
2026-05-01,0,0,0
2026-05-02,0,0,0
2026-05-03,2,790,103
2026-05-04,0,0,0
2026-05-05,0,0,0
2026-05-06,2,2305,39
2026-05-07,2,2304,38
2026-05-08,2,790,18
2026-05-09,0,0,0
2026-05-10,0,0,0
2026-05-11,0,0,0
2026-05-12,0,0,0
2026-05-13,0,0,0
2026-05-14,0,0,0
2026-05-15,0,0,0
2026-05-16,0,0,0
2026-05-17,3,1185,53
2026-05-18,1,395,180
2026-05-19,0,0,0
2026-05-20,0,0,0
2026-05-21,0,0,0
2026-05-22,0,0,0
2026-05-23,0,0,0
2026-05-24,0,0,0
2026-05-25,0,0,0
2026-05-26,0,0,0
2026-05-27,0,0,0
2026-05-28,0,0,0
2026-05-29,1,1908,19
2026-05-30,1,1909,59
2026-05-31,0,0,0
2026-06-01,0,0,0
2026-06-02,0,0,0
2026-06-03,0,0,0
2026-06-04,0,0,0
2026-06-05,0,0,0
2026-06-06,0,0,0
2026-06-07,0,0,0
2026-06-08,0,0,0
2026-06-09,1,1910,57
2026-06-10,0,0,0
2026-06-11,0,0,0
2026-06-12,0,0,0
2026-06-13,0,0,0
2026-06-14,0,0,0
2026-06-15,0,0,0
2026-06-16,0,0,0
